"","longitud","latitud"
"Estancia El Bagual",-58.7339333333333,-26.7926527777778
"Estancia Quintana",-58.6001111111111,-26.8004722222222
"Estancia San Carlos",-58.6508333333333,-26.9779444444444
"Pampa del Indio",-59.9699027777778,-26.2757083333333
"Parque Nacional Chaco I",-59.6079305555556,-26.804075
"Parque Nacional Chaco II",-59.6051111111111,-26.7838055555556
"Puerto Antequera",-58.8669722222222,-27.4279166666667
"Reserva los Chaguares",-58.9660555555556,-27.3333055555556
"Vedia",-58.6473611111111,-26.9341111111111
